ApplicationId, Allocated-Paper, Allocated-Program, Allocated-Quota, Allocated-Program-Choice, Allocated-Paper-Rank, Allocated-Paper-Mark,  Category, PwD-status, Reg1-ID, Reg1-Rank, Reg1-Marks, Reg2-ID, Reg2-Rank2,  Reg2-Marks,  ValidChoices, Original-Choice, statusId, AutoUpgrade, Quota-Change, Improve-Choice, isSupernumeri
M105E23, --, --, --, --, --, -- , GEN, false, CY302028-M2, 407, 46.67, --, --, --, 1803-1401-1301, CY:IITR:1803#CY:IITG:1401#CY:IITD:1301, 0, true, NA, NA, false
M101F89, --, --, --, --, --, -- , OBC, false, MA603177-M1, 562, 29.33, --, --, --, 1206-1702-1302-1402-1502-1804-1603-2203-2102-2002-2301-2403-1902, MA:IITB:1206#MA:IITM:1702#MA:IITD:1302#MA:IITG:1402#MA:IITK:1502#MA:IITR:1804#MA:IITKgp:1603#MA:IITI:2203#MA:IITH:2102#MA:IITGN:2002#MA:IITRPR:2301#MA:IITJ:2403#MA:IITBBS:1902, 0, true, NA, NA, false
M120V71, --, --, --, --, --, -- , SC, false, BL207094-M0, 2357, 13.33, --, --, --, 1101, BL:IISc:1101, 0, true, NA, NA, false
M109G36, --, --, --, --, --, -- , OBC, false, GG604021-M2, 164, 51, --, --, --, 1801-1904-1602-1905-XXXX-1201, GG:IITR:1801#GG:IITBBS:1904#GG:IITKgp:1602#GG:IITBBS:1905#GG:IITB:1208#GG:IITB:1201, 0, true, NA, NA, false
M119E44, --, --, --, --, --, -- , GEN, false, BL212145-M1, 8, 63.33, --, --, --, 1101-XXXX-1102, BL:IISc:1101#BL:IITB:1210#BL:IISc:1102, 0, true, NA, NA, false
M115M39, --, --, --, --, --, -- , GEN, false, CY302242-M2, 1229, 32, --, --, --, 1301-2302-1803-2201-2401-2001-1211-1205-2101-1401-1501-1601-1901-1701, CY:IITD:1301#CY:IITRPR:2302#CY:IITR:1803#CY:IITI:2201#CY:IITJ:2401#CY:IITGN:2001#CY:IITB:1211#CY:IITB:1205#CY:IITH:2101#CY:IITG:1401#CY:IITK:1501#CY:IITKgp:1601#CY:IITBBS:1901#CY:IITM:1701, 0, true, NA, NA, false
M119E30, --, --, --, --, --, -- , OBC, false, GG313359-M2, 325, 41, --, --, --, 1201-1602-1801-1904-1905-XXXX-1605, GG:IITB:1201#GG:IITKgp:1602#GG:IITR:1801#GG:IITBBS:1904#GG:IITBBS:1905#GG:IITB:1208#GG:IITKgp:1605, 0, true, NA, NA, false
M115U31, --, --, --, --, --, -- , GEN, false, BL303009-M1, 60, 49.33, --, --, --, 1101-XXXX, BL:IISc:1101#BL:IITB:1210, 0, true, NA, NA, false
M109T10, --, --, --, --, --, -- , GEN, false, PH213066-M1, 432, 30.33, --, --, --, XXXX-1207-1215-1503-XXXX-1604-1703-2003-1403-2303-1805-2103-2402, PH:IISc:1104#PH:IITB:1207#PH:IITB:1215#PH:IITK:1503#PH:IITK:1505#PH:IITKgp:1604#PH:IITM:1703#PH:IITGN:2003#PH:IITG:1403#PH:IITRPR:2303#PH:IITR:1805#PH:IITH:2103#PH:IITJ:2402, 0, true, NA, NA, false
M107J19, --, --, --, --, --, -- , GEN, false, CY322017-M2, 840, 37.33, --, --, --, 1301-1803-2201, CY:IITD:1301#CY:IITR:1803#CY:IITI:2201, 0, true, NA, NA, false
M107J16, --, --, --, --, --, -- , OBC, false, CY611174-M2, 1289, 31, --, --, --, 2101-2001-2401-2302-2201-1901-1701-1803-1401, CY:IITH:2101#CY:IITGN:2001#CY:IITJ:2401#CY:IITRPR:2302#CY:IITI:2201#CY:IITBBS:1901#CY:IITM:1701#CY:IITR:1803#CY:IITG:1401, 0, true, NA, NA, false
M117C20, --, --, --, --, --, -- , GEN, false, CY304245-M2, 1524, 28.33, --, --, --, XXXX-1212-1211-XXXX-1205-1905-1901-1301-2001-1401-2101-2201-1501-1601-1701-1803-2302-2401-1101-1102, CY:IITB:1213#CY:IITB:1212#CY:IITB:1211#CY:IITB:1210#CY:IITB:1205#CY:IITBBS:1905#CY:IITBBS:1901#CY:IITD:1301#CY:IITGN:2001#CY:IITG:1401#CY:IITH:2101#CY:IITI:2201#CY:IITK:1501#CY:IITKgp:1601#CY:IITM:1701#CY:IITR:1803#CY:IITRPR:2302#CY:IITJ:2401#CY:IISc:1101#CY:IISc:1102, 0, true, NA, NA, false
M106A24, --, --, --, --, --, -- , SC, false, BL606043-M0, 1243, 22.33, BT606043-M0, 1405, 15, 1101-1204-1802-XXXX-XXXX, BL:IISc:1101#BT:IITB:1204#BT:IITR:1802#BT:IITB:1210#BT:IITB:1213, 0, true, NA, NA, false
M112M28, --, --, --, --, --, -- , GEN, false, BL411107-M0, 359, 35.33, BT411106-M0, 83, 32.33, 1204, BT:IITB:1204, 0, true, NA, NA, false
M102C97, --, --, --, --, --, -- , GEN, false, CY806080-M2, 2237, 22.33, --, --, --, 1301-2201-1701-1601-1901-1401-2001-1501-2302-2101-1211-1102-2401-1803, CY:IITD:1301#CY:IITI:2201#CY:IITM:1701#CY:IITKgp:1601#CY:IITBBS:1901#CY:IITG:1401#CY:IITGN:2001#CY:IITK:1501#CY:IITRPR:2302#CY:IITH:2101#CY:IITB:1211#CY:IISc:1102#CY:IITJ:2401#CY:IITR:1803, 0, true, NA, NA, false
M107S57, --, --, --, --, --, -- , OBC, false, PH327082-M1, 980, 22.67, --, --, --, 1903-XXXX-2003-1403-1703-1805-2402-2303-1303-1207-2103-2202-1503-1604, PH:IITBBS:1903#PH:IISc:1104#PH:IITGN:2003#PH:IITG:1403#PH:IITM:1703#PH:IITR:1805#PH:IITJ:2402#PH:IITRPR:2303#PH:IITD:1303#PH:IITB:1207#PH:IITH:2103#PH:IITI:2202#PH:IITK:1503#PH:IITKgp:1604, 0, true, NA, NA, false
