ApplicationId, Allocated-Paper, Allocated-Program, Allocated-Quota, Allocated-Program-Choice, Allocated-Paper-Rank, Allocated-Paper-Mark,  Category, PwD-status, Reg1-ID, Reg1-Rank, Reg1-Marks, Reg2-ID, Reg2-Rank2,  Reg2-Marks,  ValidChoices, Original-Choice, statusId, AutoUpgrade, Quota-Change, Improve-Choice, isSupernumeri
M104R88, MS, 1504, GEN, 1, 8, 69, GEN, false, MS610254-M2, 8, 69, --, --, --, 1504-1203, MS:IITK:1504#MS:IITB:1203, 3, false, No-Quota-Change, Same, false
M105H64, GG, 1201, GEN, 1, 8, 78.67, GEN, false, GG611040-M2, 8, 78.67, --, --, --, 1201-1602-1801, GG:IITB:1201#GG:IITKgp:1602#GG:IITR:1801, 3, false, No-Quota-Change, Same, false
M111H72, CY, 1601, GEN, 1, 8, 77, GEN, false, CY612067-M2, 8, 77, --, --, --, 1601-1501-1101-1102-1701-1205-1401-1301-1803, CY:IITKgp:1601#CY:IITK:1501#CY:IISc:1101#CY:IISc:1102#CY:IITM:1701#CY:IITB:1205#CY:IITG:1401#CY:IITD:1301#CY:IITR:1803, 3, false, No-Quota-Change, Same, false
M102C89, MS, 1504, GEN, 1, 9, 66.67, GEN, false, MS610142-M2, 9, 66.67, --, --, --, 1504-XXXX-1203-1214-1905, MS:IITK:1504#MS:IISc:1103#MS:IITB:1203#MS:IITB:1214#MS:IITBBS:1905, 3, false, No-Quota-Change, Same, false
M116H70, GG, 1201, GEN, 1, 9, 78, GEN, false, GG514132-M2, 9, 78, --, --, --, 1201-1602-1801-1605, GG:IITB:1201#GG:IITKgp:1602#GG:IITR:1801#GG:IITKgp:1605, 3, false, No-Quota-Change, Same, false
M112U75, BT, 1204, GEN, 1, 9, 42, GEN, false, BL606105-M0, 74, 48.33, BT606105-M0, 9, 42, 1204-1101-1802, BT:IITB:1204#BT:IISc:1101#BT:IITR:1802, 3, false, No-Quota-Change, Same, false
M106U10, MA, 1206, GEN, 1, 9, 61.33, GEN, false, MA205213-M1, 9, 61.33, --, --, --, 1206, MA:IITB:1206, 3, false, No-Quota-Change, Same, false
M103W69, CY, 1102, GEN, 1, 9, 76.33, GEN, false, CY323313-M2, 9, 76.33, --, --, --, 1102-1205-1301-1501, CY:IISc:1102#CY:IITB:1205#CY:IITD:1301#CY:IITK:1501, 3, false, No-Quota-Change, Same, false
M101G54, MA, 1206, GEN, 2, 10, 60.33, GEN, false, MA610172-M1, 10, 60.33, --, --, --, XXXX-1206-1502-1702, MA:IISc:1103#MA:IITB:1206#MA:IITK:1502#MA:IITM:1702, 3, false, No-Quota-Change, Same, false
M111U88, BT, 1204, GEN, 3, 10, 41.67, GEN, false, BL325035-M0, 13, 60.67, BT325035-M0, 10, 41.67, XXXX-XXXX-1204-1802-1204, BT:IITB:1210#BL:IITB:1210#BT:IITB:1204#BT:IITR:1802#BT:IITB:1204, 3, false, No-Quota-Change, Same, false
