registration_id,application_id,air,raw_marks
BT801030-M0,M119T58,732,19.33
BT411097-M0,M104J94,732,19.33
BT608071-M2,M106H97,732,19.33
BT308079-M2,M120Q10,732,19.33
BT603128-M0,M112C29,732,19.33
BT706018-M2,M103W65,732,19.33
BT204075-M0,M121F86,738,19.33
BT301248-M0,M119B89,738,19.33
BT304011-M0,M117A16,738,19.33
BT209008-M0,M116R52,738,19.33
BT412003-M0,M107X30,742,19.33
BT509012-M0,M105G90,742,19.33
BT513082-M2,M113G45,742,19.33
BT311023-M0,M120Z22,742,19.33
BT601079-M0,M113V56,742,19.33
BT707038-M2,M119A98,742,19.33
BT112030-M2,M122B21,748,19.33
BT204019-M0,M108U57,748,19.33
BT323044-M2,M113D71,748,19.33
BT208010-M0,M114B47,748,19.33
BT513180-M0,M115V97,752,19.33
BT513167-M0,M105T78,752,19.33
BT323351-M2,M105D36,754,19
BT321037-M0,M121H81,754,19
BT512036-M0,M108P97,756,19
BT513198-M0,M121N46,756,19
BT301137-M0,M111M84,756,19
BT701021-M0,M115V72,756,19
BT701086-M2,M117A96,756,19
BT616096-M2,M114T68,756,19
BT101076-M0,M119U36,762,19
BT304124-M2,M108Y13,762,19
BT103049-M0,M116Z87,762,19
BT610099-M0,M121D96,762,19
BT513192-M0,M119Y30,766,19
BT204049-M0,M116Q19,766,19
BT304023-M0,M119F94,766,19
BT701048-M2,M102V66,766,19
BT113019-M0,M102V25,766,19
BT210031-M0,M112T54,766,19
BT606032-M0,M104Y86,766,19
BT319043-M0,M103A64,766,19
BT321089-M2,M106A55,766,19
BT207062-M0,M110E30,775,19
BT312050-M0,M117H64,775,19
