registration_id,application_id,air,raw_marks
BT103067-M0,M122G30,775,19
BT205091-M2,M118X54,775,19
BT805038-M2,M113F67,775,19
BT206001-M0,M101C12,775,19
BT301131-M0,M111G94,781,19
BT308019-M0,M121T75,781,19
BT307011-M0,M108D71,781,19
BT319100-M0,M106D29,781,19
BT320053-M0,M109X59,781,19
BT206044-M0,M117E67,781,19
BT206029-M0,M109G19,781,19
BT304098-M2,M107H96,788,19
BT617080-M0,M121N11,788,19
BT405029-M0,M107U15,790,19
BT204028-M0,M111F74,791,19
BT603115-M0,M109Q32,791,19
BT507059-M0,M105Q20,791,19
BT806136-M2,M112Q94,794,18.67
BT616128-M2,M122M66,794,18.67
BT309021-M0,M112D27,796,18.67
BT309011-M0,M108A94,796,18.67
BT301268-M0,M120N88,796,18.67
BT411154-M2,M110X59,796,18.67
BT701150-M2,M110G30,796,18.67
BT402001-M0,M104R95,796,18.67
BT321002-M0,M119E57,796,18.67
BT509190-M2,M117T13,803,18.67
BT204090-M2,M101B37,803,18.67
BT301082-M0,M106N63,803,18.67
BT203078-M2,M110N53,803,18.67
BT603123-M0,M111A94,803,18.67
BT606143-M0,M122G75,803,18.67
BT204002-M0,M101D28,809,18.67
BT804023-M2,M122D94,809,18.67
BT617003-M0,M105A33,809,18.67
BT704007-M0,M122T12,809,18.67
BT307023-M0,M114V33,809,18.67
BT601133-M2,M103P61,809,18.67
BT601153-M2,M106F16,809,18.67
BT319091-M0,M105P90,809,18.67
BT313387-M2,M103H78,817,18.67
BT101039-M0,M110C87,817,18.67
BT701156-M2,M113Z49,817,18.67
BT308004-M0,M105J16,817,18.67
BT616007-M0,M104E53,817,18.67
BT610102-M0,M122J16,817,18.67
BT320023-M0,M108S72,817,18.67
BT301143-M0,M111Y15,824,18.67
BT301079-M0,M106D48,824,18.67
BT324182-M2,M111A20,824,18.67
BT210075-M0,M121E77,824,18.67
BT204166-M2,M110D18,828,18.67
BT101084-M0,M121Y86,828,18.67
BT203118-M0,M101K79,828,18.67
BT201022-M0,M118F85,828,18.67
BT204153-M2,M108B29,832,18.67
BT101036-M0,M109H10,832,18.67
BT205139-M2,M121Q99,832,18.67
BT320052-M0,M109X41,832,18.67
BT411015-M0,M108T78,836,18.67
BT609081-M2,M112P25,836,18.67
BT701001-M0,M101M38,836,18.67
BT201065-M2,M112S87,836,18.67
BT207091-M2,M103T93,842,18.33
BT509019-M0,M106N86,842,18.33
BT309038-M0,M119W27,842,18.33
BT703033-M0,M122X67,842,18.33
BT321052-M0,M122G94,842,18.33
BT207056-M0,M106M87,850,18.33
BT701066-M2,M109D75,850,18.33
BT203099-M2,M118B16,850,18.33
BT508019-M0,M121N77,858,18.33
BT802111-M2,M104T14,867,18.33
BT618014-M0,M115M12,873,18.33
BT802010-M0,M106C10,873,18.33
BT809105-M0,M101Q26,877,18.33
BT407154-M0,M114Q90,877,18.33
BT309156-M2,M119M66,883,18.33
BT313200-M2,M113Q78,883,18.33
BT403106-M0,M101P63,888,18.33
BT405014-M0,M104S82,892,18
BT303123-M0,M103B17,892,18
BT308081-M2,M122A89,892,18
BT707026-M0,M115H42,892,18
BT206030-M0,M109M19,892,18
BT705041-M2,M104U73,899,18
BT313343-M2,M116C82,899,18
BT411127-M2,M104K45,899,18
BT325060-M0,M115M75,899,18
BT513160-M0,M101N75,908,18
BT508083-M2,M101M78,908,18
BT615058-M2,M112P52,914,18
BT323242-M2,M101D23,914,18
BT601142-M2,M105B38,914,18
BT303114-M0,M102H79,921,18
BT206074-M2,M103W57,929,18
BT618009-M0,M111D59,931,17.67
BT603118-M0,M110F74,938,17.67
BT701132-M2,M101M14,945,17.67
BT105009-M0,M120T89,945,17.67
BT307111-M0,M121G56,950,17.67
BT205116-M2,M120U21,950,17.67
BT403116-M0,M117S89,950,17.67
BT319136-M0,M107Y47,950,17.67
BT213002-M0,M101S69,959,17.67
BT209013-M2,M101N94,959,17.67
BT702032-M2,M118D20,959,17.67
BT616002-M0,M101P15,959,17.67
BT605083-M0,M119X22,964,17.67
BT804026-M0,M103N76,968,17.67
BT103047-M0,M115S68,970,17.67
BT205355-M2,M119W37,970,17.67
BT509157-M2,M109M39,975,17.67
BT320166-M0,M116U66,980,17.33
BT207042-M2,M121Q54,985,17.33
BT301189-M0,M115J66,985,17.33
BT208008-M0,M113A83,985,17.33
BT313378-M2,M122A14,993,17.33
BT301250-M0,M119C79,993,17.33
BT104073-M2,M116B93,993,17.33
BT312062-M2,M112F54,993,17.33
BT325056-M0,M115E92,993,17.33
BT509083-M2,M110P96,1001,17.33
BT313116-M2,M102V85,1001,17.33
BT405296-M0,M105A91,1001,17.33
BT320179-M0,M117T52,1001,17.33
BT513187-M0,M118D97,1012,17.33
BT205085-M2,M118B25,1018,17.33
BT501098-M2,M121V32,1018,17.33
BT102062-M2,M118K50,1023,17.33
BT310156-M2,M119W59,1027,17
BT512058-M0,M113J96,1032,17
BT302124-M2,M109K79,1032,17
BT204141-M2,M106N48,1034,17
BT301017-M0,M102E72,1034,17
BT616297-M2,M122D50,1034,17
BT701169-M2,M119A46,1042,17
BT702021-M2,M110G96,1042,17
BT512092-M0,M123A75,1051,17
BT323228-M2,M122U73,1051,17
BT324059-M0,M106T10,1051,17
BT204012-M0,M105D90,1061,17
BT203107-M2,M121M89,1064,17
BT603002-M2,M114A56,1064,17
BT705002-M0,M101W13,1070,17
BT508007-M0,M109U88,1073,16.67
BT101072-M0,M119J49,1083,16.67
BT211090-M2,M117V41,1083,16.67
BT206012-M0,M105G26,1083,16.67
BT705033-M2,M104F93,1090,16.67
BT301004-M0,M101F78,1090,16.67
BT513174-M0,M110W50,1094,16.67
BT301218-M0,M117G96,1094,16.67
BT616011-M0,M106J33,1094,16.67
BT207072-M0,M118D39,1105,16.67
BT618005-M0,M109E68,1105,16.67
BT405238-M2,M114B41,1108,16.67
BT617086-M2,M101J10,1112,16.67
BT502056-M2,M113C74,1112,16.67
BT705022-M0,M120N84,1116,16.67
BT405290-M2,M122Z95,1116,16.67
BT211074-M2,M116R42,1116,16.67
BT103122-M2,M120F79,1124,16.67
BT203139-M0,M114R61,1138,16.33
BT301191-M0,M115P26,1147,16.33
BT606085-M0,M110Q52,1147,16.33
BT502113-M2,M104B73,1162,16.33
BT324184-M2,M111C78,1175,16.33
BT610100-M0,M121F44,1191,16
