application_id,seat_allotted
M104W59,1604
M106D95,1701
M104B68,1503
M102M73,2103
M102M73,1303
M105B46,1403
M120P50,1216
M107D79,1805
M107D79,1703
M102G80,1604
M102G33,1805
M111R13,1303
M106K82,1302
M110M73,2002
M110M73,1702
M110M73,1402
M107A99,1302
M119N93,1804
M108P37,1206
M108G65,2301
M106U68,2403
M106U68,1702
M112V28,1603
M103P55,1804
M118S37,1205
M108T63,1902
M108T63,1603
M111W86,2102
M104W22,1102
M104W22,1601
M111Y48,1101
M110U56,1502
M105N65,1214
M109S15,1502
M114V43,1205
M114V43,1102
M102K25,2102
M104Q99,2002
M117E60,1804
M117E60,1502
M117E60,1302
M106S90,1804
M106S90,1702
M103Y51,1501
M103Y51,1401
M106K59,1504
M103M66,1102
M105C73,1401
M110W54,1701
M110W54,1601
M106R33,1301
M104D21,1702
M103C14,1302
M103V96,1101
M103Q87,1803
M101Q52,2402
M108Y15,1701
M102S96,1702
M107E47,2101
M112K95,1803
M106K79,1101
M109K56,1210
M107D13,1402
M112S27,1803
M114M79,1211
M106K23,2401
M112S27,2302
M112S27,1501
M105E84,1401
M111U96,1301
M103Y51,1205
M107E62,1101
M110Z23,1302
M113V76,1803
M113V76,1501
M114V43,1701
M103J93,1701
M103J93,1301
M106V45,1702
M107G68,1206
M111F25,1101
M113N12,1502
M113N12,1402
M113N12,1302
M109K20,1501
M109K20,1205
M111P81,1901
M106Z20,2302
M105U15,1701
M102M92,1803
M103M58,1401
M110M73,2203
M118J12,2203
M102B94,2203
M103X55,2203
M108G65,2203
M117D56,2203
M120U11,1205
M112Y51,1205
M114Z54,2203
M111G92,2203
M104F60,2203
M115U32,2203
M102X90,2203
M103Q31,2203
M106W60,2203
M106K15,2203
M106D78,2203
M117G35,2202
M108Y15,2101
M108Q20,2101
M111A99,1401
M104U62,1803
M104U62,1401
M106N88,2301
M109Y71,2301
M103K20,2301
M104P95,2301
M102Y25,2301
M108Q95,2301
M115U83,2301
M109M27,2301
M113A59,2301
M102S96,2203
M104H51,2301
M107T64,2301
M107T64,2203
M111U85,2203
M107H76,2301
M114X25,2202
M102Z38,2202
M104Y61,2202
M117U51,2202
M108X35,2202
M110W69,2202
M104Z45,2202
M112G76,2202
M103A52,2202
M101A73,2202
M111G77,2202
M102P35,2202
M110E47,2202
M106E15,2201
M116A26,2201
M110W51,2201
M106J86,2201
M109K32,2201
M106A20,2201
M101Y68,2201
M108U28,2201
M106H24,2201
M107R79,2103
M114W62,2103
M121Y93,2103
M103B42,2103
M120M90,2103
M115D67,2103
M118R93,1206
M111A61,2103
M108S40,2103
M103A61,2103
M113Q83,2103
M115F17,2103
M111G51,2103
M109E15,2103
M102Y85,2103
M107F84,1402
M101C21,2002
M102Z65,1902
M102Z65,1302
M108W47,1902
M102X90,1702
M108K13,1902
M106W33,1402
M108H85,1603
M101B35,2401
M102T90,2001
M104N25,2202
M102V97,2202
M105U76,2103
M103H94,2201
