Application_id, Seat_allotted, Paper, Quota, Choice_no, Rank, Marks, Round, Is_accepted, Is_rejected, Remark, StatusId, autoUpgrade
M102S94, 1504, MS, GEN, 1, 31, 53.33, round2, null, null, null,3, false
M118S37, 1205, CY, GEN, 2, 31, 70, round2, null, null, null,3, false
M111Z98, 1210, BL, GEN, 2, 32, 53.67, round2, null, null, null,4, true
M101N39, 1206, MA, SC, 1, 32, 52.33, round2, null, null, null,3, false
M108T64, 1602, GG, GEN, 3, 32, 68, round2, null, null, null,3, false
M103P63, 1502, MA, GEN, 3, 33, 52.33, round2, null, null, null,4, true
M107D18, 1602, GG, GEN, 3, 33, 68, round2, null, null, null,4, true
M109T41, 1202, PH, GEN, 1, 33, 51, round2, null, null, null,3, false
M108V80, 1504, MS, GEN, 1, 33, 53, round2, null, null, null,3, false
M103M60, 1802, BT, GEN, 3, 33, 38, round2, null, null, null,4, true
M119M47, 1802, BT, GEN, 1, 33, 38, round2, null, null, null,3, false
M116Q65, 1103, MA, GEN, 2, 34, 52, round2, null, null, null,4, true
M107D20, 1602, GG, GEN, 1, 34, 67.67, round2, null, null, null,3, false
M104G72, 1207, PH, GEN, 2, 34, 50.67, round2, null, null, null,1, true
M105F14, 1601, CY, GEN, 2, 34, 69.67, round2, null, null, null,4, true
M101Q45, 1203, MS, GEN, 1, 34, 52.33, round2, null, null, null,3, false
M107D19, 1602, GG, GEN, 3, 34, 67.67, round2, null, null, null,4, true
M102N87, 1206, MA, OBC, 2, 35, 51.67, round2, null, null, null,4, true
M111N79, 1205, CY, GEN, 2, 35, 69, round2, null, null, null,3, false
M105M56, 1802, BT, GEN, 2, 35, 37.67, round2, null, null, null,4, true
M103N60, 1203, MS, GEN, 1, 35, 51.67, round2, null, null, null,3, false
M111G71, 1104, PH, GEN, 1, 35, 50.67, round2, null, null, null,3, false
M111K56, 1802, BT, GEN, 1, 36, 37.67, round2, null, null, null,3, false
M111B71, 1602, GG, GEN, 2, 36, 67.33, round2, null, null, null,3, false
M101Z18, 1205, CY, GEN, 1, 36, 69, round2, null, null, null,3, false
M101N77, 1504, MS, GEN, 1, 36, 51.67, round2, null, null, null,3, false
M111Y48, 1802, BT, GEN, 3, 37, 37.33, round2, null, null, null,4, true
M102J64, 1104, PH, GEN, 1, 37, 50, round2, null, null, null,3, false
M105Z54, 1205, CY, GEN, 1, 37, 68, round2, null, null, null,3, false
M107K58, 1502, MA, GEN, 2, 37, 51.33, round2, null, null, null,3, false
M111H69, 1504, MS, GEN, 1, 37, 51.67, round2, null, null, null,3, false
M104F25, 1602, GG, GEN, 2, 37, 66.67, round2, null, null, null,3, false
M104A68, 1504, MS, GEN, 1, 37, 51.67, round2, null, null, null,3, false
M102H24, 1602, GG, GEN, 2, 37, 66.67, round2, null, null, null,3, false
M107G79, 1302, MA, GEN, 2, 38, 51, round2, null, null, null,3, false
M106T26, 1202, PH, GEN, 1, 38, 49.67, round2, null, null, null,3, false
M111R49, 1205, CY, GEN, 2, 38, 68, round2, null, null, null,4, true
M101P22, 1102, CY, GEN, 1, 38, 68, round2, null, null, null,3, false
M107M70, 1215, PH, GEN, 2, 39, 49.67, round2, null, null, null,3, false
M111P38, 1802, BT, GEN, 4, 39, 37.33, round2, null, null, null,4, true
M115R84, 1603, MA, GEN, 2, 39, 50.67, round2, null, null, null,4, true
M102V92, 1801, GG, GEN, 3, 39, 66.33, round2, null, null, null,4, true
M102U62, 1213, BT, GEN, 3, 40, 37, round2, null, null, null,4, true
M102R73, 1205, CY, GEN, 1, 40, 67.67, round2, null, null, null,3, false
M118M89, 1203, MS, GEN, 1, 40, 51, round2, null, null, null,3, false
M112G16, 1207, PH, GEN, 1, 40, 49.33, round2, null, null, null,3, false
M101W70, 1302, MA, GEN, 2, 40, 50.67, round2, null, null, null,3, false
M109A10, 1801, GG, GEN, 2, 40, 66, round2, null, null, null,3, false
M103G71, 1205, CY, GEN, 1, 40, 67.67, round2, null, null, null,3, false
M106C33, 1801, GG, GEN, 2, 41, 65.67, round2, null, null, null,4, true
M101P47, 1801, GG, GEN, 4, 41, 65.67, round2, null, null, null,4, true
M110S75, 1502, MA, GEN, 2, 41, 50.33, round2, null, null, null,4, true
M119W11, 1503, PH, GEN, 2, 41, 49.33, round2, null, null, null,3, true
M109W18, 1802, BT, GEN, 1, 41, 36.33, round2, null, null, null,3, false
M122M82, 1802, BT, GEN, 4, 41, 36.33, round2, null, null, null,4, true
M107U76, 1203, MS, GEN, 1, 41, 50.67, round2, null, null, null,3, false
M103K33, 1502, MA, GEN, 3, 41, 50.33, round2, null, null, null,4, true
M108G82, 1207, PH, GEN, 1, 42, 48.67, round2, null, null, null,3, false
M106J68, 1203, MS, GEN, 1, 42, 50.67, round2, null, null, null,3, false
M111N91, 1205, CY, GEN, 2, 42, 67.67, round2, null, null, null,4, true
M110C42, 1201, GG, OBC, 2, 43, 65.67, round2, null, null, null,3, false
M102R81, 1207, PH, GEN, 1, 43, 48.67, round2, null, null, null,3, false
M105B45, 1801, GG, GEN, 2, 43, 65.67, round2, null, null, null,4, true
M101Z98, 1605, GG, GEN, 2, 43, 65.67, round2, null, null, null,4, true
M106C72, 1504, MS, GEN, 1, 43, 49.33, round2, null, null, null,4, true
M107D21, 1801, GG, GEN, 3, 43, 65.67, round2, null, null, null,4, true
M103V90, 1601, CY, GEN, 1, 43, 67.33, round2, null, null, null,3, false
M111S93, 1802, BT, GEN, 5, 43, 36.33, round2, null, null, null,4, true
M111M50, 1207, PH, GEN, 1, 44, 48.33, round2, null, null, null,3, false
M106T13, 1504, MS, GEN, 1, 44, 48.67, round2, null, null, null,3, false
M105D95, 1205, CY, GEN, 2, 44, 67.33, round2, null, null, null,3, false
M106Y61, 1302, MA, GEN, 1, 44, 49.67, round2, null, null, null,3, false
M113U31, 1210, BL, GEN, 2, 44, 51.33, round2, null, null, null,4, true
M106D33, 1802, BT, GEN, 2, 44, 36, round2, null, null, null,4, true
M107B75, 1205, CY, GEN, 1, 45, 67, round2, null, null, null,3, false
M106E73, 1203, MS, GEN, 1, 45, 48.67, round2, null, null, null,3, false
M106J75, 1802, BT, GEN, 1, 45, 36, round2, null, null, null,3, false
M105Q58, 1301, CY, GEN, 1, 46, 67, round2, null, null, null,3, false
M112J55, 1802, BT, GEN, 1, 46, 35.67, round2, null, null, null,1, true
M103K96, 1504, MS, GEN, 2, 46, 48, round2, null, null, null,4, true
M102N48, 1502, MA, GEN, 2, 46, 49.33, round2, null, null, null,3, false
M106Q94, 1504, MS, GEN, 1, 47, 46.67, round2, null, null, null,1, true
M109W41, 1201, GG, OBC, 1, 47, 65.67, round2, null, null, null,3, false
M105R67, 1102, CY, GEN, 1, 47, 66.67, round2, null, null, null,3, false
M112X13, 1502, MA, GEN, 2, 47, 49.33, round2, null, null, null,4, true
M109J34, 1104, PH, GEN, 1, 47, 48, round2, null, null, null,3, false
M101J97, 1802, BT, GEN, 1, 47, 35.67, round2, null, null, null,1, true
M106D49, 1207, PH, GEN, 1, 47, 48, round2, null, null, null,3, true
M103S16, 1207, PH, GEN, 1, 47, 48, round2, null, null, null,3, true
M106P56, 1205, CY, GEN, 1, 48, 66.33, round2, null, null, null,3, false
M105Z58, 1205, CY, GEN, 1, 48, 66.33, round2, null, null, null,3, false
M109W27, 1904, GG, GEN, 4, 48, 65.67, round2, null, null, null,4, true
M103Z71, 1601, CY, GEN, 1, 48, 66.33, round2, null, null, null,3, false
M104C82, 1103, MA, GEN, 1, 48, 49, round2, null, null, null,3, false
M105H73, 1904, GG, GEN, 4, 49, 65.33, round2, null, null, null,4, true
M101V78, 1214, MS, GEN, 3, 49, 46.67, round2, null, null, null,4, true
M118R23, 1802, BT, GEN, 2, 50, 35.33, round2, null, null, null,1, true
