application_id,seat_allotted,paper,quota,choice_no,auto_upgrade,is_provisional,acceptance_doc_path,declaration_form_path,undertaking_form_path,bank_challan_path,status_id
M113B22,1101,BL,SC,1,f,t,/mnt/nas/nas2/set37/bucket35/M113B22/M113B22-ch-20150617150842603,,/mnt/nas/nas2/set37/bucket35/M113B22/M113B22-ch-20150617151136823,/mnt/nas/nas2/set37/bucket35/M113B22/M113B22-ch-20150619120633628,3
M111H78,1501,CY,GEN,1,f,t,/mnt/nas/nas3/set74/bucket11/M111H78/M111H78-ch-20150617164252088,,/mnt/nas/nas3/set74/bucket11/M111H78/M111H78-ch-2015061716441399,/mnt/nas/nas3/set74/bucket11/M111H78/M111H78-ch-20150618160857056,3
M102Y77,1205,CY,GEN,1,f,f,/mnt/nas/nas1/set75/bucket99/M102Y77/M102Y77-ch-20150619093259443,,,/mnt/nas/nas1/set75/bucket99/M102Y77/M102Y77-ch-20150619115426343,3
M106M76,1602,GG,GEN,1,f,t,/mnt/nas/nas1/set64/bucket33/M106M76/M106M76-ch-20150617112844733,,/mnt/nas/nas1/set64/bucket33/M106M76/M106M76-ch-20150617112857462,/mnt/nas/nas1/set64/bucket33/M106M76/M106M76-ch-20150617133116314,3
M102J64,1104,PH,GEN,1,f,t,/mnt/nas/nas2/set74/bucket49/M102J64/M102J64-ch-20150617123939857,,/mnt/nas/nas2/set74/bucket49/M102J64/M102J64-ch-20150617124041481,/mnt/nas/nas2/set74/bucket49/M102J64/M102J64-ch-20150617180009149,3
M105J12,1501,CY,GEN,1,f,t,/mnt/nas/nas1/set55/bucket43/M105J12/M105J12-ch-20150617145023614,,/mnt/nas/nas1/set55/bucket43/M105J12/M105J12-ch-20150617145036989,/mnt/nas/nas1/set55/bucket43/M105J12/M105J12-ch-20150617204848382,3
M102T61,1201,GG,OBC,1,f,t,/mnt/nas/nas1/set77/bucket21/M102T61/M102T61-ch-20150617130402482,,/mnt/nas/nas1/set77/bucket21/M102T61/M102T61-ch-2015061713045725,/mnt/nas/nas1/set77/bucket21/M102T61/M102T61-ch-20150617153623361,3
M108T64,1602,GG,GEN,3,f,f,/mnt/nas/nas1/set34/bucket94/M108T64/M108T64-ch-20150617182202524,/mnt/nas/nas1/set34/bucket94/M108T64/M108T64-ch-20150617182347199,,/mnt/nas/nas1/set34/bucket94/M108T64/M108T64-ch-20150618171549654,3
M109C11,1204,BT,GEN,1,f,t,/mnt/nas/nas2/set89/bucket84/M109C11/M109C11-ch-20150617204427187,,/mnt/nas/nas2/set89/bucket84/M109C11/M109C11-ch-20150617204458152,/mnt/nas/nas2/set89/bucket84/M109C11/M109C11-ch-20150619121130239,3
M119M47,1802,BT,GEN,1,f,t,/mnt/nas/nas2/set17/bucket38/M119M47/M119M47-ch-20150616231301434,,/mnt/nas/nas2/set17/bucket38/M119M47/M119M47-ch-20150616231528533,/mnt/nas/nas2/set17/bucket38/M119M47/M119M47-ch-20150620085615217,3
M101P26,1504,MS,GEN,1,f,t,/mnt/nas/nas1/set50/bucket78/M101P26/M101P26-ch-20150617173749715,,/mnt/nas/nas1/set50/bucket78/M101P26/M101P26-ch-20150617173449879,/mnt/nas/nas1/set50/bucket78/M101P26/M101P26-ch-2015061814171403,3
M107S87,1501,CY,GEN,1,f,t,/mnt/nas/nas3/set68/bucket72/M107S87/M107S87-ch-20150617171114259,,/mnt/nas/nas3/set68/bucket72/M107S87/M107S87-ch-20150617171158426,/mnt/nas/nas3/set68/bucket72/M107S87/M107S87-ch-20150619192710353,3
M104F25,1602,GG,GEN,2,f,t,/mnt/nas/nas3/set89/bucket95/M104F25/M104F25-ch-20150616153750007,,/mnt/nas/nas3/set89/bucket95/M104F25/M104F25-ch-20150616153544648,/mnt/nas/nas3/set89/bucket95/M104F25/M104F25-ch-20150618160727537,3
M103J32,1206,MA,GEN,1,f,t,/mnt/nas/nas3/set76/bucket94/M103J32/M103J32-ch-20150617153510002,,/mnt/nas/nas3/set76/bucket94/M103J32/M103J32-ch-20150617153530318,/mnt/nas/nas3/set76/bucket94/M103J32/M103J32-ch-20150619205916798,3
M109K57,1203,MS,GEN,1,f,f,/mnt/nas/nas2/set73/bucket21/M109K57/M109K57-ch-20150618120631742,/mnt/nas/nas2/set73/bucket21/M109K57/M109K57-ch-20150618120640214,,/mnt/nas/nas2/set73/bucket21/M109K57/M109K57-ch-20150619122555412,3
M111M37,1210,BT,GEN,3,f,f,/mnt/nas/nas3/set1/bucket76/M111M37/M111M37-ch-2015061721535816,,,/mnt/nas/nas3/set1/bucket76/M111M37/M111M37-ch-20150618133024052,3
M108X64,1602,GG,GEN,1,f,t,/mnt/nas/nas2/set8/bucket45/M108X64/M108X64-ch-20150618110637397,,/mnt/nas/nas2/set8/bucket45/M108X64/M108X64-ch-20150618110815205,/mnt/nas/nas2/set8/bucket45/M108X64/M108X64-ch-20150618132951919,3
M122M82,1802,BT,GEN,4,t,t,/mnt/nas/nas2/set74/bucket23/M122M82/M122M82-ch-20150616202548221,/mnt/nas/nas2/set74/bucket23/M122M82/M122M82-ch-20150616203118347,/mnt/nas/nas2/set74/bucket23/M122M82/M122M82-ch-20150616203133479,/mnt/nas/nas2/set74/bucket23/M122M82/M122M82-ch-20150618172647188,3
M109W82,1201,GG,OBC,1,f,t,/mnt/nas/nas2/set48/bucket16/M109W82/M109W82-ch-20150617131402825,,/mnt/nas/nas2/set48/bucket16/M109W82/M109W82-ch-20150617131429813,/mnt/nas/nas2/set48/bucket16/M109W82/M109W82-ch-20150617214545258,3
M110C42,1201,GG,OBC,2,f,f,/mnt/nas/nas1/set61/bucket36/M110C42/M110C42-ch-20150617105352205,,,/mnt/nas/nas1/set61/bucket36/M110C42/M110C42-ch-20150618203137737,3
M103Z71,1601,CY,GEN,1,f,t,/mnt/nas/nas1/set82/bucket64/M103Z71/M103Z71-ch-20150617123424356,,/mnt/nas/nas1/set82/bucket64/M103Z71/M103Z71-ch-20150617123449401,/mnt/nas/nas1/set82/bucket64/M103Z71/M103Z71-ch-20150618185611658,3
M102N48,1502,MA,GEN,2,f,f,/mnt/nas/nas3/set52/bucket15/M102N48/M102N48-ch-20150616175905403,,,/mnt/nas/nas3/set52/bucket15/M102N48/M102N48-ch-20150617220422517,3
M106U71,1301,CY,GEN,1,f,t,/mnt/nas/nas1/set89/bucket38/M106U71/M106U71-ch-20150617000515803,,/mnt/nas/nas1/set89/bucket38/M106U71/M106U71-ch-20150617000617168,/mnt/nas/nas1/set89/bucket38/M106U71/M106U71-ch-20150617155401214,3
M105J88,1203,MS,GEN,1,f,t,/mnt/nas/nas2/set90/bucket33/M105J88/M105J88-ch-20150617214147658,,/mnt/nas/nas2/set90/bucket33/M105J88/M105J88-ch-20150617214223421,/mnt/nas/nas2/set90/bucket33/M105J88/M105J88-ch-20150619223237658,3
