application_id, Seat_allotted, Paper, Quota, Choice_no, Rank, Marks, Round, isProvisional, StatusId, autoUpgrade, acceptancePath, declarationPath, undertakingPath, challanPath, isSupernumeri
M107D67, 1101, BT, GEN, 1, 11, 41.67, round3, true, 4, true, /mnt/nas/nas2/set54/bucket22/M107D67/M107D67-ch-20150616122438546, /mnt/nas/nas2/set54/bucket22/M107D67/M107D67-ch-20150616122525253, /mnt/nas/nas2/set54/bucket22/M107D67/M107D67-ch-20150616122546696, /mnt/nas/nas2/set54/bucket22/M107D67/M107D67-ch-2015061708450348, false
M103W49, 1102, CY, GEN, 1, 11, 75, round3, true, 3, false, /mnt/nas/nas2/set90/bucket69/M103W49/M103W49-ch-20150617160826274, null, /mnt/nas/nas2/set90/bucket69/M103W49/M103W49-ch-201506171609555, /mnt/nas/nas2/set90/bucket69/M103W49/M103W49-ch-20150618105905458, false
M109W53, 1201, GG, GEN, 1, 11, 75.33, round3, true, 3, false, /mnt/nas/nas1/set63/bucket79/M109W53/M109W53-ch-20150617113709865, null, /mnt/nas/nas1/set63/bucket79/M109W53/M109W53-ch-20150617114358916, /mnt/nas/nas1/set63/bucket79/M109W53/M109W53-ch-20150617155637943, false
M107S40, 1207, PH, GEN, 2, 11, 59.67, round3, false, 3, false, /mnt/nas/nas1/set37/bucket9/M107S40/M107S40-ch-20150617140732484, null, null, /mnt/nas/nas1/set37/bucket9/M107S40/M107S40-ch-20150617151727682, false
M111J55, 1504, MS, GEN, 1, 11, 62.33, round3, true, 3, false, /mnt/nas/nas1/set27/bucket33/M111J55/M111J55-ch-20150617123912278, null, /mnt/nas/nas1/set27/bucket33/M111J55/M111J55-ch-2015061712395042, /mnt/nas/nas1/set27/bucket33/M111J55/M111J55-ch-20150618114731021, false
M105E78, 1201, GG, GEN, 1, 12, 74.67, round3, true, 3, false, /mnt/nas/nas2/set98/bucket45/M105E78/M105E78-ch-20150617110116649, null, /mnt/nas/nas2/set98/bucket45/M105E78/M105E78-ch-20150617121853561, /mnt/nas/nas2/set98/bucket45/M105E78/M105E78-ch-201506191832334, false
M117D93, 1503, PH, GEN, 1, 12, 59, round3, false, 3, false, /mnt/nas/nas1/set61/bucket82/M117D93/M117D93-ch-20150617112702037, null, null, /mnt/nas/nas1/set61/bucket82/M117D93/M117D93-ch-20150618103910763, false
M105J76, 1504, MS, GEN, 1, 12, 62, round3, true, 3, false, /mnt/nas/nas3/set2/bucket21/M105J76/M105J76-ch-20150616165547159, null, /mnt/nas/nas3/set2/bucket21/M105J76/M105J76-ch-201506161656196, /mnt/nas/nas3/set2/bucket21/M105J76/M105J76-ch-20150617204752671, false
M106D55, 1206, MA, GEN, 2, 12, 57.33, round3, true, 4, true, /mnt/nas/nas3/set10/bucket51/M106D55/M106D55-ch-20150617122714013, /mnt/nas/nas3/set10/bucket51/M106D55/M106D55-ch-20150617122720429, /mnt/nas/nas3/set10/bucket51/M106D55/M106D55-ch-20150617122725506, /mnt/nas/nas3/set10/bucket51/M106D55/M106D55-ch-20150619111446538, false
M119V91, 1204, BT, GEN, 1, 13, 40, round3, true, 3, false, /mnt/nas/nas3/set37/bucket21/M119V91/M119V91-ch-20150616201547766, null, /mnt/nas/nas3/set37/bucket21/M119V91/M119V91-ch-20150616201646546, /mnt/nas/nas3/set37/bucket21/M119V91/M119V91-ch-20150620110750264, false
M103A56, 1503, PH, GEN, 1, 13, 59, round3, true, 3, false, /mnt/nas/nas1/set19/bucket66/M103A56/M103A56-ch-20150616220915701, null, /mnt/nas/nas1/set19/bucket66/M103A56/M103A56-ch-20150616220930469, /mnt/nas/nas1/set19/bucket66/M103A56/M103A56-ch-20150618082032807, false
M105U90, 1501, CY, GEN, 1, 13, 74.33, round3, true, 3, false, /mnt/nas/nas3/set73/bucket16/M105U90/M105U90-ch-20150617105258104, null, /mnt/nas/nas3/set73/bucket16/M105U90/M105U90-ch-20150617105306125, /mnt/nas/nas3/set73/bucket16/M105U90/M105U90-ch-20150617134808142, false
M109W86, 1201, GG, GEN, 1, 13, 74, round3, true, 3, false, /mnt/nas/nas1/set50/bucket78/M109W86/M109W86-ch-20150617112356487, null, /mnt/nas/nas1/set50/bucket78/M109W86/M109W86-ch-2015061711264991, /mnt/nas/nas1/set50/bucket78/M109W86/M109W86-ch-20150617155108269, false
M105T39, 1501, CY, GEN, 1, 13, 74.33, round3, true, 3, false, /mnt/nas/nas2/set80/bucket40/M105T39/M105T39-ch-20150617120352273, null, /mnt/nas/nas2/set80/bucket40/M105T39/M105T39-ch-20150617120509416, /mnt/nas/nas2/set80/bucket40/M105T39/M105T39-ch-20150617214949862, false
M102K54, 1203, MS, GEN, 1, 13, 61.33, round3, true, 3, false, /mnt/nas/nas1/set44/bucket77/M102K54/M102K54-ch-20150616171137648, null, /mnt/nas/nas1/set44/bucket77/M102K54/M102K54-ch-20150616171214108, /mnt/nas/nas1/set44/bucket77/M102K54/M102K54-ch-20150617112016587, false
M105D56, 1206, MA, GEN, 2, 14, 55.33, round3, true, 4, true, /mnt/nas/nas3/set0/bucket2/M105D56/M105D56-ch-20150617121808376, /mnt/nas/nas3/set0/bucket2/M105D56/M105D56-ch-20150617121819642, /mnt/nas/nas3/set0/bucket2/M105D56/M105D56-ch-20150617121823968, /mnt/nas/nas3/set0/bucket2/M105D56/M105D56-ch-20150617131635871, false
M105E39, 1201, GG, GEN, 1, 14, 73.67, round3, true, 3, false, /mnt/nas/nas3/set2/bucket72/M105E39/M105E39-ch-20150617120034065, null, /mnt/nas/nas3/set2/bucket72/M105E39/M105E39-ch-2015061712004032, /mnt/nas/nas3/set2/bucket72/M105E39/M105E39-ch-20150617203014427, false
M106P34, 1501, CY, GEN, 1, 15, 74, round3, true, 3, false, /mnt/nas/nas1/set24/bucket75/M106P34/M106P34-ch-20150617111637766, null, /mnt/nas/nas1/set24/bucket75/M106P34/M106P34-ch-20150617111737262, /mnt/nas/nas1/set24/bucket75/M106P34/M106P34-ch-20150619105406571, false
M105N46, 1204, BT, GEN, 1, 15, 40, round3, true, 3, false, /mnt/nas/nas1/set48/bucket31/M105N46/M105N46-ch-20150617113909369, null, /mnt/nas/nas1/set48/bucket31/M105N46/M105N46-ch-20150617113934513, /mnt/nas/nas1/set48/bucket31/M105N46/M105N46-ch-20150617124942046, false
M102X87, 1206, MA, GEN, 1, 15, 55, round3, true, 3, false, /mnt/nas/nas3/set6/bucket44/M102X87/M102X87-ch-20150616184713901, null, /mnt/nas/nas3/set6/bucket44/M102X87/M102X87-ch-2015061618510781, /mnt/nas/nas3/set6/bucket44/M102X87/M102X87-ch-20150617201632055, false
M101Z24, 1205, CY, GEN, 1, 15, 74, round3, true, 3, false, /mnt/nas/nas3/set54/bucket1/M101Z24/M101Z24-ch-20150617130508598, null, /mnt/nas/nas3/set54/bucket1/M101Z24/M101Z24-ch-20150617130528234, /mnt/nas/nas3/set54/bucket1/M101Z24/M101Z24-ch-2015061714450592, false
M107K12, 1201, GG, GEN, 1, 15, 73.33, round3, true, 3, false, /mnt/nas/nas3/set98/bucket28/M107K12/M107K12-ch-20150617105656384, null, /mnt/nas/nas3/set98/bucket28/M107K12/M107K12-ch-20150617105742383, /mnt/nas/nas3/set98/bucket28/M107K12/M107K12-ch-20150617124001982, false
M108B57, 1203, MS, GEN, 1, 15, 59, round3, true, 3, false, /mnt/nas/nas1/set61/bucket49/M108B57/M108B57-ch-20150616185821661, null, /mnt/nas/nas1/set61/bucket49/M108B57/M108B57-ch-20150616185846232, /mnt/nas/nas1/set61/bucket49/M108B57/M108B57-ch-20150617174019537, false
